time,lux_level
2022-05-13 06:05:31,0.0
2022-05-13 06:10:31,7.92
2022-05-13 06:15:31,7.92
2022-05-13 06:28:01,7.92
2022-05-13 06:33:01,8.33
2022-05-13 06:35:31,8.33
2022-05-13 06:40:31,8.33
2022-05-13 06:48:01,8.75
2022-05-13 06:53:01,8.75
2022-05-13 07:00:31,9.58
2022-05-13 07:10:32,9.58
2022-05-13 07:15:31,10.0
2022-05-13 07:20:32,357.92
2022-05-13 07:23:02,352.92
2022-05-13 07:28:02,347.08
2022-05-13 07:33:02,345.0
2022-05-13 07:40:32,340.42
2022-05-13 07:43:03,340.42
2022-05-13 07:45:32,341.25
2022-05-13 07:50:32,340.83
2022-05-13 07:58:02,337.92
2022-05-13 08:05:32,337.92
2022-05-13 08:08:02,338.33
2022-05-13 08:13:02,338.75
2022-05-13 08:18:02,338.75
2022-05-13 08:23:02,340.0
2022-05-13 08:28:02,339.17
2022-05-13 08:30:32,339.17
2022-05-13 08:35:32,338.75
2022-05-13 08:40:32,337.08
2022-05-13 08:48:02,337.5
2022-05-13 08:53:02,337.92
2022-05-13 08:58:02,340.0
2022-05-13 09:03:02,337.92
2022-05-13 09:05:31,337.5
2022-05-13 09:10:32,337.5
2022-05-13 09:18:02,337.5
2022-05-13 09:23:02,337.08
2022-05-13 09:25:32,332.92
2022-05-13 09:28:02,333.33
2022-05-13 09:33:02,337.5
2022-05-13 09:40:32,337.08
2022-05-13 09:45:32,336.67
2022-05-13 09:50:31,337.08
2022-05-13 09:58:02,337.5
2022-05-13 10:05:32,336.25
2022-05-13 10:08:01,337.5
2022-05-13 10:13:02,337.08
2022-05-13 10:20:31,337.08
2022-05-13 10:25:32,339.17
2022-05-13 10:33:02,336.67
2022-05-13 10:38:02,338.33
2022-05-13 10:43:02,340.42
2022-05-13 10:48:02,344.17
2022-05-13 10:55:32,342.5
2022-05-13 11:00:32,341.67
2022-05-13 11:08:02,340.0
2022-05-13 11:13:02,335.83
2022-05-13 11:20:34,335.0
2022-05-13 11:25:32,332.08
2022-05-13 11:33:02,322.92
2022-05-13 11:38:02,336.25
2022-05-13 11:43:02,340.42
2022-05-13 11:45:32,340.0
2022-05-13 11:50:32,347.08
2022-05-13 11:55:32,343.75
2022-05-13 12:03:02,338.75
2022-05-13 12:08:02,335.42
2022-05-13 12:10:32,337.92
2022-05-13 12:15:32,338.75
2022-05-13 12:23:02,336.25
2022-05-13 12:28:02,344.58
2022-05-13 12:33:02,335.0
2022-05-13 12:40:32,339.17
2022-05-13 12:45:32,337.5
2022-05-13 12:50:32,338.75
2022-05-13 12:58:02,338.75
2022-05-13 13:03:02,339.17
2022-05-13 13:08:02,340.0
2022-05-13 13:13:02,337.5
2022-05-13 13:18:02,337.08
2022-05-13 13:25:32,338.75
2022-05-13 13:30:32,339.17
2022-05-13 13:38:02,338.75
2022-05-13 13:43:02,336.25
2022-05-13 13:50:32,338.33
2022-05-13 13:55:32,336.25
2022-05-13 14:00:32,338.75
2022-05-13 14:08:02,336.25
2022-05-13 14:13:02,335.42
2022-05-13 14:20:32,335.83
2022-05-13 14:28:02,337.5
2022-05-13 14:33:02,337.5
2022-05-13 14:35:32,337.08
2022-05-13 14:43:02,337.08
2022-05-13 14:48:02,335.42
2022-05-13 14:53:02,334.17
2022-05-13 15:00:32,336.67
2022-05-13 15:05:32,333.33
2022-05-13 15:10:32,326.67
2022-05-13 15:15:32,337.5
2022-05-13 15:18:02,337.08
2022-05-13 15:23:02,336.25
2022-05-13 15:28:02,337.92
