time,pressure_level
2022-05-22 05:35:52,749.31
2022-05-22 05:38:23,749.3
2022-05-22 05:40:53,749.36
2022-05-22 05:43:22,749.35
2022-05-22 05:45:52,749.33
2022-05-22 05:48:22,749.33
2022-05-22 05:50:52,749.37
2022-05-22 05:53:22,749.46
2022-05-22 05:55:52,749.42
2022-05-22 05:58:23,749.43
2022-05-22 06:00:52,749.47
2022-05-22 06:03:22,749.51
2022-05-22 06:05:52,749.47
2022-05-22 06:08:22,749.52
2022-05-22 06:10:53,749.5
2022-05-22 06:13:22,749.5
2022-05-22 06:18:22,749.61
2022-05-22 06:20:52,749.6
2022-05-22 06:23:22,749.53
2022-05-22 06:25:52,749.57
2022-05-22 06:28:22,749.66
2022-05-22 06:30:53,749.6
2022-05-22 06:33:22,749.63
2022-05-22 06:35:52,749.62
2022-05-22 06:38:22,749.62
2022-05-22 06:40:52,749.62
2022-05-22 06:43:23,749.64
2022-05-22 06:45:52,749.57
2022-05-22 06:48:22,749.65
2022-05-22 06:50:52,749.67
2022-05-22 06:53:22,749.63
2022-05-22 06:55:53,749.74
2022-05-22 06:58:22,749.67
2022-05-22 07:00:52,749.62
2022-05-22 07:03:22,749.67
2022-05-22 07:08:22,749.67
2022-05-22 07:13:22,749.67
2022-05-22 07:15:52,749.69
2022-05-22 07:18:22,749.73
2022-05-22 07:20:52,749.68
2022-05-22 07:23:22,749.68
2022-05-22 07:25:53,749.8
2022-05-22 07:28:22,749.8
2022-05-22 07:30:53,749.7
2022-05-22 07:33:22,749.7
2022-05-22 07:35:52,749.64
2022-05-22 07:38:22,749.68
2022-05-22 07:40:53,749.86
2022-05-22 07:43:23,749.78
2022-05-22 07:45:52,749.77
2022-05-22 07:50:52,749.81
2022-05-22 07:53:22,749.81
2022-05-22 07:55:52,749.71
2022-05-22 07:58:22,749.76
2022-05-22 08:00:52,749.83
2022-05-22 08:03:23,749.81
2022-05-22 08:05:52,749.84
2022-05-22 08:08:22,749.85
2022-05-22 08:10:52,749.89
2022-05-22 08:13:23,749.83
2022-05-22 08:15:52,749.84
2022-05-22 08:18:22,749.87
2022-05-22 08:20:53,749.9
2022-05-22 08:23:22,749.86
2022-05-22 08:28:22,749.84
2022-05-22 08:30:52,749.81
2022-05-22 08:33:22,749.87
2022-05-22 08:35:52,749.83
2022-05-22 08:38:22,749.88
2022-05-22 08:40:52,749.88
2022-05-22 08:43:23,749.95
2022-05-22 08:45:53,749.89
2022-05-22 08:48:23,749.82
2022-05-22 08:50:52,749.78
2022-05-22 08:53:22,749.84
2022-05-22 08:55:52,749.9
2022-05-22 08:58:23,749.79
2022-05-22 09:00:52,749.8
2022-05-22 09:05:52,749.73
2022-05-22 09:08:23,749.67
2022-05-22 09:10:52,749.64
2022-05-22 09:13:23,749.66
2022-05-22 09:15:53,749.58
2022-05-22 09:18:23,749.58
2022-05-22 09:20:53,749.55
2022-05-22 09:23:22,749.55
2022-05-22 09:25:52,749.54
2022-05-22 09:28:22,749.53
