time,hum_level
2022-05-24 22:55:54,46.27
2022-05-24 22:58:24,46.32
2022-05-24 23:00:54,46.3
2022-05-24 23:03:24,46.32
2022-05-24 23:05:54,46.31
2022-05-24 23:08:24,46.3
2022-05-24 23:10:54,46.3
2022-05-24 23:13:24,46.36
2022-05-24 23:15:54,46.39
2022-05-24 23:18:24,46.39
2022-05-24 23:23:24,46.39
2022-05-24 23:25:54,46.39
2022-05-24 23:28:24,46.45
2022-05-24 23:30:54,46.41
2022-05-24 23:33:24,46.4
2022-05-24 23:35:54,46.43
2022-05-24 23:38:24,46.46
2022-05-24 23:40:54,46.47
2022-05-24 23:43:24,46.51
2022-05-24 23:45:54,46.52
2022-05-24 23:48:24,46.47
2022-05-24 23:50:54,46.5
2022-05-24 23:53:24,46.47
2022-05-24 23:55:54,46.46
2022-05-24 23:58:24,46.49
2022-05-25 00:00:54,46.45
2022-05-25 00:03:24,46.44
2022-05-25 00:05:54,46.52
2022-05-25 00:08:24,46.59
2022-05-25 00:13:24,46.65
2022-05-25 00:15:54,46.72
2022-05-25 00:18:24,46.75
2022-05-25 00:20:54,46.79
2022-05-25 00:25:54,46.89
2022-05-25 00:28:24,46.9
2022-05-25 00:30:54,46.97
2022-05-25 00:33:24,47.02
2022-05-25 00:35:54,47.09
2022-05-25 00:38:24,47.13
2022-05-25 00:40:54,47.15
2022-05-25 00:43:24,47.23
2022-05-25 00:45:54,47.35
2022-05-25 00:48:24,47.42
2022-05-25 00:53:24,47.6
2022-05-25 00:55:54,47.72
2022-05-25 00:58:24,47.85
2022-05-25 01:00:54,47.98
2022-05-25 01:03:24,48.11
2022-05-25 01:05:54,48.26
2022-05-25 01:08:24,48.38
2022-05-25 01:10:54,48.47
2022-05-25 01:13:24,48.57
2022-05-25 01:15:54,48.67
2022-05-25 01:18:24,48.77
2022-05-25 01:20:54,48.85
2022-05-25 01:23:24,48.92
2022-05-25 01:25:54,48.99
2022-05-25 01:28:24,49.03
2022-05-25 01:30:54,49.08
2022-05-25 01:33:24,49.13
2022-05-25 01:35:54,49.2
2022-05-25 01:38:24,49.23
2022-05-25 01:40:54,49.23
2022-05-25 01:43:24,49.23
2022-05-25 01:45:54,49.24
2022-05-25 01:48:24,49.27
2022-05-25 01:50:54,49.28
2022-05-25 01:55:54,49.32
2022-05-25 01:58:24,49.34
2022-05-25 02:00:54,49.36
2022-05-25 02:03:24,49.36
2022-05-25 02:05:54,49.37
2022-05-25 02:08:24,49.4
2022-05-25 02:10:54,49.37
2022-05-25 02:13:24,49.34
2022-05-25 02:15:54,49.32
2022-05-25 02:18:24,49.31
2022-05-25 02:23:24,49.31
2022-05-25 02:25:54,49.33
2022-05-25 02:28:24,49.39
2022-05-25 02:30:54,49.39
2022-05-25 02:33:24,49.3
2022-05-25 02:35:54,49.28
2022-05-25 02:38:24,49.23
2022-05-25 02:40:54,49.17
2022-05-25 02:43:24,49.15
2022-05-25 02:45:54,49.1
2022-05-25 02:48:24,49.02
2022-05-25 02:50:54,48.99
2022-05-25 02:53:24,48.95
2022-05-25 02:55:54,48.88
2022-05-25 02:58:24,48.81
2022-05-25 03:00:54,48.78
2022-05-25 03:03:24,48.78
2022-05-25 03:05:54,48.78
2022-05-25 03:08:24,48.85
2022-05-25 03:10:54,48.92
2022-05-25 03:15:54,49.11
2022-05-25 03:18:24,49.15
2022-05-25 03:20:54,49.17
2022-05-25 03:25:54,49.17
2022-05-25 03:28:24,49.17
2022-05-25 03:30:54,49.22
2022-05-25 03:33:24,49.23
2022-05-25 03:35:54,49.22
2022-05-25 03:38:24,49.23
2022-05-25 03:40:54,49.22
2022-05-25 03:43:24,49.21
2022-05-25 03:45:54,49.2
2022-05-25 03:48:24,49.13
2022-05-25 03:50:54,49.1
2022-05-25 03:53:24,49.08
2022-05-25 03:55:54,49.11
2022-05-25 03:58:24,49.13
2022-05-25 04:00:54,49.21
2022-05-25 04:03:24,49.3
2022-05-25 04:05:54,49.39
2022-05-25 04:08:24,49.48
2022-05-25 04:10:54,49.56
2022-05-25 04:13:24,49.63
2022-05-25 04:15:54,49.7
2022-05-25 04:18:24,49.69
2022-05-25 04:20:54,49.6
2022-05-25 04:23:24,49.49
2022-05-25 04:28:24,49.48
2022-05-25 04:30:54,49.5
2022-05-25 04:33:24,49.46
2022-05-25 04:35:54,49.46
2022-05-25 04:38:24,49.44
2022-05-25 04:40:54,49.46
2022-05-25 04:43:24,49.45
2022-05-25 04:45:55,49.47
2022-05-25 04:48:25,49.52
2022-05-25 04:50:55,49.56
2022-05-25 04:55:55,49.66
2022-05-25 04:58:25,49.69
2022-05-25 05:00:55,49.71
2022-05-25 05:03:25,49.73
2022-05-25 05:05:55,49.8
2022-05-25 05:08:25,49.72
2022-05-25 05:10:55,49.67
2022-05-25 05:13:25,49.65
2022-05-25 05:15:55,49.59
2022-05-25 05:18:25,49.56
2022-05-25 05:23:25,49.48
2022-05-25 05:25:55,49.48
2022-05-25 05:30:55,49.45
2022-05-25 05:33:25,49.45
2022-05-25 05:35:55,49.42
2022-05-25 05:38:25,49.4
2022-05-25 05:40:55,49.33
2022-05-25 05:43:25,49.3
2022-05-25 05:45:55,49.32
2022-05-25 05:48:25,49.26
2022-05-25 05:50:55,49.25
2022-05-25 05:53:25,49.18
2022-05-25 05:58:25,49.1
2022-05-25 06:00:55,49.07
2022-05-25 06:03:25,49.0
2022-05-25 06:05:55,49.01
2022-05-25 06:08:25,49.15
2022-05-25 06:10:55,49.37
2022-05-25 06:13:25,49.41
2022-05-25 06:15:55,49.43
2022-05-25 06:18:25,49.4
2022-05-25 06:25:55,49.39
2022-05-25 06:28:25,49.35
2022-05-25 06:30:55,49.34
2022-05-25 06:33:25,49.3
2022-05-25 06:35:55,49.23
2022-05-25 06:38:25,49.17
2022-05-25 06:40:55,49.16
2022-05-25 06:43:25,49.12
